w_content,w_semantic,w_sentiment,w_rating_quality,w_agreement,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10
0.25,0.05,0.1,0.55,0.05,0.3333333333333333,0.016723883470325007,0.321051914867671,0.33749999999999997,0.032068763369322316,0.32948650302006305
0.05,0.2,0.05,0.5,0.2,0.3333333333333333,0.017948711729444518,0.34898045462443594,0.3125,0.030487686822743932,0.329342746803393
0.30000000000000004,0.15000000000000002,0.05,0.45,0.05,0.3666666666666667,0.017971701980444857,0.33981305334578044,0.3416666666666666,0.03462701174343685,0.3288834157115175
0.15000000000000002,0.15000000000000002,0.1,0.55,0.05,0.3666666666666667,0.019230514913619216,0.35582014926582217,0.325,0.032300420443987045,0.32830909778244605
0.05,0.15000000000000002,0.15000000000000002,0.6000000000000001,0.05,0.3666666666666667,0.017835300046401086,0.39347665568787865,0.2875,0.02816700850436406,0.32808155636074177
0.1,0.15000000000000002,0.05,0.45,0.25,0.35000000000000003,0.01855003150206289,0.3496249120436059,0.31666666666666665,0.030429165209388223,0.325714770158275
0.2,0.2,0.05,0.5,0.05,0.35833333333333334,0.018930554003888638,0.33319873468461053,0.3333333333333333,0.03279493218220397,0.3249956976583896
0.2,0.05,0.05,0.55,0.15000000000000002,0.375,0.019460676013549952,0.36757380903747733,0.30833333333333335,0.029474245971785645,0.3243704913829168
0.05,0.25,0.05,0.55,0.1,0.3333333333333333,0.01770401906803566,0.3425262677411102,0.31249999999999994,0.030350436753966925,0.3241003919109335
0.15000000000000002,0.05,0.15000000000000002,0.6000000000000001,0.05,0.35000000000000003,0.01606059092296869,0.3460411068014568,0.3166666666666667,0.03122355915117396,0.32404930169577584
0.15000000000000002,0.05,0.1,0.55,0.15000000000000002,0.35000000000000003,0.01696632141030981,0.3526805894088627,0.30833333333333335,0.030470018383191716,0.32282372633258105
0.4,0.05,0.05,0.45,0.05,0.3333333333333333,0.01632334279314805,0.32626749572346636,0.325,0.0319932937459295,0.32243822856796445
0.05,0.15000000000000002,0.1,0.55,0.15000000000000002,0.375,0.019614337113922697,0.38046687822968095,0.29583333333333334,0.028874330512501486,0.3221810900684864
0.05,0.30000000000000004,0.05,0.55,0.05,0.3666666666666667,0.019220527925841356,0.3535183735630534,0.31666666666666665,0.03060642950894198,0.3213660318039567
0.1,0.15000000000000002,0.1,0.55,0.1,0.31666666666666665,0.017126141345209334,0.3335262813446375,0.30833333333333335,0.029950398906784564,0.32045163216777667
0.15000000000000002,0.1,0.1,0.55,0.1,0.3333333333333333,0.016283638566455587,0.33097282954426666,0.3166666666666667,0.03131709565517312,0.3199666064594486
0.05,0.1,0.1,0.45,0.30000000000000004,0.3333333333333333,0.017906994335392706,0.3576372206035486,0.2916666666666667,0.02830335360706791,0.3197853666081562
0.15000000000000002,0.15000000000000002,0.05,0.5,0.15000000000000002,0.35833333333333334,0.019037279973747486,0.3486780719106451,0.3125,0.030994709724252025,0.31925142539779094
0.1,0.05,0.05,0.35000000000000003,0.45,0.3666666666666667,0.019077886823568795,0.366451911275941,0.3,0.029748683727305696,0.3192144100364412
0.25,0.1,0.1,0.5,0.05,0.34166666666666673,0.01711044559521931,0.3235798239980892,0.325,0.03308710122560116,0.3187995847401395
0.1,0.2,0.1,0.55,0.05,0.3416666666666666,0.01823953937531238,0.3419729663771503,0.30833333333333335,0.030035901245429607,0.31783598707016275
0.2,0.1,0.1,0.55,0.05,0.375,0.018487650473658274,0.35148282108490153,0.3125,0.03094588234529813,0.31673503581266943
0.15000000000000002,0.25,0.05,0.5,0.05,0.35000000000000003,0.018544483992756933,0.3425007250711576,0.30833333333333335,0.02988966726141165,0.316023190236897
0.35000000000000003,0.1,0.05,0.45,0.05,0.3333333333333333,0.015194461463582117,0.3161966873645314,0.3208333333333333,0.03172157492070702,0.3135038867501703
0.1,0.1,0.1,0.5,0.2,0.325,0.01726329301055314,0.33517593780018107,0.3,0.03008182923373807,0.3125013485695393
0.05,0.05,0.05,0.25,0.6000000000000001,0.325,0.01726329301055314,0.33517593780018107,0.3,0.03008182923373807,0.3125013485695393
0.2,0.05,0.1,0.55,0.1,0.3416666666666666,0.01563850401638301,0.328117752477538,0.31250000000000006,0.030907046451339456,0.3114062673454338
0.45,0.1,0.05,0.35000000000000003,0.05,0.325,0.01593685492609121,0.3146053802715692,0.31666666666666665,0.031315468651918005,0.3109517772475808
